Query Sequence ID,Subject sequence ID
TCONS_00031651,sp|Q7RTV3|ZN367_HUMAN
TCONS_00031652,sp|Q7RTV3|ZN367_HUMAN
TCONS_00031653,sp|Q7RTV3|ZN367_HUMAN
TCONS_00031649,sp|Q5JVS0|HABP4_HUMAN
TCONS_00031655,sp|Q9UNH5|CC14A_HUMAN
TCONS_00031656,sp|Q9UNH5|CC14A_HUMAN
TCONS_00031657,sp|Q9UNH5|CC14A_HUMAN
TCONS_00031658,sp|Q9UNH5|CC14A_HUMAN
TCONS_00031659,sp|Q9UNH5|CC14A_HUMAN
TCONS_00031660,sp|Q9UNH5|CC14A_HUMAN
TCONS_00031661,sp|Q9UNH5|CC14A_HUMAN
TCONS_00031662,sp|Q9UNH5|CC14A_HUMAN
TCONS_00031664,sp|Q9UNH5|CC14A_HUMAN
TCONS_00031665,sp|Q9UNH5|CC14A_HUMAN
TCONS_00031666,sp|Q9UNH5|CC14A_HUMAN
TCONS_00031667,sp|Q9UNH5|CC14A_HUMAN
TCONS_00031669,sp|Q9UNH5|CC14A_HUMAN
TCONS_00031670,sp|Q9UNH5|CC14A_HUMAN
TCONS_00031671,sp|Q9UNH5|CC14A_HUMAN
TCONS_00031673,sp|Q9UNH5|CC14A_HUMAN
TCONS_00031675,sp|Q9UNH5|CC14A_HUMAN
TCONS_00031676,sp|Q7RTV5|AAED1_HUMAN
TCONS_00031650,sp|Q9UF56|FXL17_HUMAN
TCONS_00031682,sp|P78310|CXAR_HUMAN
TCONS_00031705,sp|P52735|VAV2_HUMAN
TCONS_00031706,sp|P52735|VAV2_HUMAN
TCONS_00031711,sp|P52735|VAV2_HUMAN
TCONS_00031712,sp|P52735|VAV2_HUMAN
TCONS_00031716,sp|P52735|VAV2_HUMAN
TCONS_00031717,sp|P52735|VAV2_HUMAN
TCONS_00031727,sp|P52735|VAV2_HUMAN
TCONS_00031729,sp|P52735|VAV2_HUMAN
TCONS_00031730,sp|Q58F21|BRDT_HUMAN
TCONS_00031684,sp|P46098|5HT3A_HUMAN
TCONS_00031685,sp|P46098|5HT3A_HUMAN
TCONS_00031686,sp|P46098|5HT3A_HUMAN
TCONS_00031687,sp|P46098|5HT3A_HUMAN
TCONS_00031732,sp|Q13443|ADAM9_HUMAN
TCONS_00031688,sp|Q13057|COASY_HUMAN
TCONS_00031734,sp|Q15746|MYLK_HUMAN
TCONS_00031735,sp|Q15746|MYLK_HUMAN
TCONS_00031736,sp|Q15746|MYLK_HUMAN
TCONS_00031737,sp|Q15746|MYLK_HUMAN
TCONS_00031738,sp|Q15746|MYLK_HUMAN
TCONS_00031739,sp|Q15746|MYLK_HUMAN
TCONS_00031690,sp|P08962|CD63_HUMAN
TCONS_00031691,sp|Q9BZE2|PUS3_HUMAN
TCONS_00031692,sp|Q9BZE2|PUS3_HUMAN
TCONS_00031693,sp|Q9BZE2|PUS3_HUMAN
TCONS_00031694,sp|Q8WVC6|DCAKD_HUMAN
TCONS_00031695,sp|Q8WVC6|DCAKD_HUMAN
TCONS_00031696,sp|Q8WVC6|DCAKD_HUMAN
TCONS_00031772,sp|Q9UNK0|STX8_HUMAN
TCONS_00031773,sp|Q9UNK0|STX8_HUMAN
TCONS_00031774,sp|Q9UNK0|STX8_HUMAN
TCONS_00031744,sp|Q9ULP9|TBC24_HUMAN
TCONS_00031745,sp|Q9ULP9|TBC24_HUMAN
TCONS_00031747,sp|Q9ULP9|TBC24_HUMAN
TCONS_00031749,sp|Q15937|ZNF79_HUMAN
TCONS_00031750,sp|Q15937|ZNF79_HUMAN
TCONS_00031754,sp|Q70EL4|UBP43_HUMAN
TCONS_00031755,sp|Q8N1V2|CFA52_HUMAN
TCONS_00031775,sp|Q99705|MCHR1_HUMAN
TCONS_00031776,sp|Q99705|MCHR1_HUMAN
TCONS_00031757,sp|Q9NZ52|GGA3_HUMAN
TCONS_00031758,sp|P61956|SUMO2_HUMAN
TCONS_00031760,sp|Q9UK76|HN1_HUMAN
TCONS_00031767,sp|P33681|CD80_HUMAN
TCONS_00031768,sp|P33681|CD80_HUMAN
TCONS_00031779,sp|Q6ZT89|S2548_HUMAN
TCONS_00031780,sp|Q6ZT89|S2548_HUMAN
TCONS_00031781,sp|Q6ZT89|S2548_HUMAN
TCONS_00031815,sp|Q7RTR2|NLRC3_HUMAN
TCONS_00031782,sp|Q96MM7|H6ST2_HUMAN
TCONS_00031786,sp|Q9NUK0|MBNL3_HUMAN
TCONS_00031794,sp|Q9NUK0|MBNL3_HUMAN
TCONS_00031801,sp|Q9Y3L5|RAP2C_HUMAN
TCONS_00031802,sp|Q9Y3L5|RAP2C_HUMAN
TCONS_00031803,sp|Q9NP73|ALG13_HUMAN
TCONS_00031805,sp|P58005|SESN3_HUMAN
TCONS_00031807,sp|P58005|SESN3_HUMAN
TCONS_00031818,sp|P98177|FOXO4_HUMAN
TCONS_00031808,sp|O95164|UBL3_HUMAN
TCONS_00031809,sp|O95164|UBL3_HUMAN
TCONS_00031813,sp|O95084|PRS23_HUMAN
TCONS_00031820,sp|Q9Y281|COF2_HUMAN
TCONS_00031822,sp|Q6DD88|ATLA3_HUMAN
TCONS_00031823,sp|O00409|FOXN3_HUMAN
TCONS_00031826,sp|O95070|YIF1A_HUMAN
TCONS_00031874,sp|Q9UGM1|ACHA9_HUMAN
TCONS_00031875,sp|P61086|UBE2K_HUMAN
TCONS_00031876,sp|Q86Z14|KLOTB_HUMAN
TCONS_00031827,sp|Q15399|TLR1_HUMAN
TCONS_00031877,sp|Q9NVR2|INT10_HUMAN
TCONS_00031878,sp|Q9NVR2|INT10_HUMAN
TCONS_00031879,sp|Q9NVR2|INT10_HUMAN
TCONS_00031832,sp|Q9H1U9|S2551_HUMAN
TCONS_00031833,sp|Q9H1U9|S2551_HUMAN
TCONS_00031882,sp|Q5SYB0|FRPD1_HUMAN
TCONS_00031885,sp|Q5SYB0|FRPD1_HUMAN
TCONS_00031835,sp|Q8N4H5|TOM5_HUMAN
TCONS_00031837,sp|O15062|ZBTB5_HUMAN
TCONS_00031886,sp|Q9UBQ7|GRHPR_HUMAN
TCONS_00031839,sp|Q9UBQ7|GRHPR_HUMAN
TCONS_00031841,sp|Q8TE77|SSH3_HUMAN
TCONS_00031843,sp|Q76I76|SSH2_HUMAN
TCONS_00031844,sp|Q8WYL5|SSH1_HUMAN
TCONS_00031887,sp|Q9H0U6|RM18_HUMAN
TCONS_00031889,sp|Q9Y487|VPP2_HUMAN
TCONS_00031890,sp|Q9UMS4|PRP19_HUMAN
TCONS_00031896,sp|O75150|BRE1B_HUMAN
TCONS_00031853,sp|P05062|ALDOB_HUMAN
TCONS_00031900,sp|Q96DC7|TMCO6_HUMAN
TCONS_00031854,sp|Q5FYB1|ARSI_HUMAN
TCONS_00031855,sp|O15209|ZBT22_HUMAN
TCONS_00031856,sp|O15209|ZBT22_HUMAN
TCONS_00031857,sp|Q96RW7|HMCN1_HUMAN
TCONS_00031858,sp|Q96RW7|HMCN1_HUMAN
TCONS_00031859,sp|Q9UQ52|CNTN6_HUMAN
TCONS_00031861,sp|Q14CZ8|HECAM_HUMAN
TCONS_00031862,sp|A8MVW5|HECA2_HUMAN
TCONS_00031866,sp|Q14CZ8|HECAM_HUMAN
TCONS_00031871,sp|Q9UQ74|PSG8_HUMAN
TCONS_00031907,sp|A8MXV4|NUD19_HUMAN
TCONS_00031919,sp|Q6ZS82|R9BP_HUMAN
TCONS_00031909,sp|Q9NXF8|ZDHC7_HUMAN
TCONS_00031913,sp|Q15554|TERF2_HUMAN
TCONS_00031920,sp|Q9Y221|NIP7_HUMAN
TCONS_00031914,sp|Q9NRR3|C42S2_HUMAN
TCONS_00031921,sp|P14316|IRF2_HUMAN
TCONS_00031915,sp|Q8IXT1|DDIAS_HUMAN
TCONS_00031927,sp|Q14693|LPIN1_HUMAN
TCONS_00031928,sp|Q14693|LPIN1_HUMAN
TCONS_00031930,sp|Q14693|LPIN1_HUMAN
TCONS_00031931,sp|Q14693|LPIN1_HUMAN
TCONS_00031932,sp|Q14693|LPIN1_HUMAN
TCONS_00031933,sp|Q14693|LPIN1_HUMAN
TCONS_00031934,sp|Q14693|LPIN1_HUMAN
TCONS_00031936,sp|Q14693|LPIN1_HUMAN
TCONS_00031939,sp|Q14693|LPIN1_HUMAN
TCONS_00031942,sp|Q4ZG55|GREB1_HUMAN
TCONS_00031945,sp|Q96L03|SPT17_HUMAN
TCONS_00031948,sp|Q08174|PCDH1_HUMAN
TCONS_00031952,sp|Q05707|COEA1_HUMAN
TCONS_00031961,sp|Q9H2X3|CLC4M_HUMAN
TCONS_00031962,sp|Q9H2X3|CLC4M_HUMAN
TCONS_00031963,sp|Q9H2X3|CLC4M_HUMAN
TCONS_00031964,sp|Q6ZS10|CL17A_HUMAN
TCONS_00031965,sp|Q9H2X3|CLC4M_HUMAN
TCONS_00031971,sp|Q8IUN9|CLC10_HUMAN
TCONS_00031972,sp|Q8IUN9|CLC10_HUMAN
TCONS_00031973,sp|Q9UHP7|CLC2D_HUMAN
TCONS_00031954,sp|Q9Y6X8|ZHX2_HUMAN
TCONS_00031956,sp|Q9Y6X8|ZHX2_HUMAN
TCONS_00031975,sp|Q9UKY1|ZHX1_HUMAN
TCONS_00031977,sp|Q6PL18|ATAD2_HUMAN
TCONS_00031978,sp|Q6PL18|ATAD2_HUMAN
TCONS_00031979,sp|Q6PL18|ATAD2_HUMAN
TCONS_00031980,sp|Q6PL18|ATAD2_HUMAN
TCONS_00031982,sp|Q6PL18|ATAD2_HUMAN
TCONS_00031986,sp|P17693|HLAG_HUMAN
TCONS_00031989,sp|Q6P589|TP8L2_HUMAN
TCONS_00031990,sp|Q6P589|TP8L2_HUMAN
TCONS_00032015,sp|Q96S90|LYSM1_HUMAN
TCONS_00031994,sp|Q9BWG6|SCNM1_HUMAN
TCONS_00031995,sp|Q9BWG6|SCNM1_HUMAN
TCONS_00032017,sp|Q9NZQ9|TMOD4_HUMAN
TCONS_00032018,sp|Q9NZQ9|TMOD4_HUMAN
TCONS_00032020,sp|Q9NZQ9|TMOD4_HUMAN
TCONS_00032024,sp|Q07820|MCL1_HUMAN
TCONS_00032025,sp|Q07820|MCL1_HUMAN
TCONS_00032027,sp|O43768|ENSA_HUMAN
TCONS_00031997,sp|Q86X24|HORM1_HUMAN
TCONS_00031998,sp|O95948|ONEC2_HUMAN
TCONS_00032028,sp|P25774|CATS_HUMAN
TCONS_00032029,sp|P25774|CATS_HUMAN
TCONS_00032030,sp|P25774|CATS_HUMAN
TCONS_00032031,sp|P25774|CATS_HUMAN
TCONS_00032032,sp|P25774|CATS_HUMAN
TCONS_00032033,sp|P25774|CATS_HUMAN
TCONS_00032035,sp|P43235|CATK_HUMAN
TCONS_00032001,sp|Q96FE5|LIGO1_HUMAN
TCONS_00032002,sp|Q96FE5|LIGO1_HUMAN
TCONS_00032004,sp|Q96FE5|LIGO1_HUMAN
TCONS_00032005,sp|O75326|SEM7A_HUMAN
TCONS_00032008,sp|Q9Y2C9|TLR6_HUMAN
TCONS_00032009,sp|O60603|TLR2_HUMAN
TCONS_00032010,sp|P23297|S10A1_HUMAN
TCONS_00032012,sp|P23297|S10A1_HUMAN
TCONS_00032013,sp|O75626|PRDM1_HUMAN
TCONS_00032014,sp|O75626|PRDM1_HUMAN
TCONS_00032041,sp|Q8N2Q7|NLGN1_HUMAN
TCONS_00032046,sp|Q06418|TYRO3_HUMAN
TCONS_00032050,sp|Q06418|TYRO3_HUMAN
TCONS_00032052,sp|Q8IWI9|MGAP_HUMAN
TCONS_00032053,sp|Q8IWI9|MGAP_HUMAN
TCONS_00032060,sp|O60336|MABP1_HUMAN
TCONS_00032110,sp|Q9BXJ4|C1QT3_HUMAN
TCONS_00032111,sp|Q86Z23|C1QL4_HUMAN
TCONS_00032112,sp|P68371|TBB4B_HUMAN
TCONS_00032114,sp|Q92994|TF3B_HUMAN
TCONS_00032063,sp|Q96KE9|BTBD6_HUMAN
TCONS_00032115,sp|Q9BQ24|ZFY21_HUMAN
TCONS_00032116,sp|Q9BQ24|ZFY21_HUMAN
TCONS_00032117,sp|Q07866|KLC1_HUMAN
TCONS_00032118,sp|Q07866|KLC1_HUMAN
TCONS_00032119,sp|Q9BQ24|ZFY21_HUMAN
TCONS_00032120,sp|Q9BQ24|ZFY21_HUMAN
TCONS_00032122,sp|Q07866|KLC1_HUMAN
TCONS_00032125,sp|Q07866|KLC1_HUMAN
TCONS_00032126,sp|Q07866|KLC1_HUMAN
TCONS_00032131,sp|Q07866|KLC1_HUMAN
TCONS_00032132,sp|Q07866|KLC1_HUMAN
TCONS_00032135,sp|Q96IL0|APOP1_HUMAN
TCONS_00032064,sp|Q9UL15|BAG5_HUMAN
TCONS_00032065,sp|Q9UL15|BAG5_HUMAN
TCONS_00032066,sp|Q9UL15|BAG5_HUMAN
TCONS_00032136,sp|Q96FX7|TRM61_HUMAN
TCONS_00032067,sp|P12277|KCRB_HUMAN
TCONS_00032069,sp|P12277|KCRB_HUMAN
TCONS_00032137,sp|Q9P0L2|MARK1_HUMAN
TCONS_00032138,sp|P27448|MARK3_HUMAN
TCONS_00032139,sp|P27448|MARK3_HUMAN
TCONS_00032072,sp|Q6ZS10|CL17A_HUMAN
TCONS_00032075,sp|P07307|ASGR2_HUMAN
TCONS_00032076,sp|P07307|ASGR2_HUMAN
TCONS_00032077,sp|Q9H2X3|CLC4M_HUMAN
TCONS_00032080,sp|O95857|TSN13_HUMAN
TCONS_00032145,sp|O76003|GLRX3_HUMAN
TCONS_00032082,sp|O95445|APOM_HUMAN
TCONS_00032084,sp|P01375|TNFA_HUMAN
TCONS_00032154,sp|Q9UBS5|GABR1_HUMAN
TCONS_00032156,sp|Q7L8J4|3BP5L_HUMAN
TCONS_00032157,sp|Q7L8J4|3BP5L_HUMAN
TCONS_00032158,sp|P26572|MGAT1_HUMAN
TCONS_00032159,sp|P26572|MGAT1_HUMAN
TCONS_00032160,sp|P26572|MGAT1_HUMAN
TCONS_00032164,sp|O60231|DHX16_HUMAN
TCONS_00032166,sp|O60231|DHX16_HUMAN
TCONS_00032167,sp|O60231|DHX16_HUMAN
TCONS_00032168,sp|O60231|DHX16_HUMAN
TCONS_00032088,sp|Q9UMR5|PPT2_HUMAN
TCONS_00032089,sp|Q9UMR5|PPT2_HUMAN
TCONS_00032091,sp|Q9UMR5|PPT2_HUMAN
TCONS_00032099,sp|P21754|ZP3_HUMAN
TCONS_00032171,sp|Q01543|FLI1_HUMAN
TCONS_00032172,sp|Q01543|FLI1_HUMAN
TCONS_00032173,sp|Q01543|FLI1_HUMAN
TCONS_00032174,sp|Q01543|FLI1_HUMAN
TCONS_00032101,sp|P14921|ETS1_HUMAN
TCONS_00032103,sp|P49662|CASP4_HUMAN
TCONS_00032104,sp|P49662|CASP4_HUMAN
TCONS_00032105,sp|Q9ULZ3|ASC_HUMAN
TCONS_00032106,sp|Q9ULZ3|ASC_HUMAN
TCONS_00032107,sp|Q9ULZ3|ASC_HUMAN
TCONS_00032179,sp|Q9ULZ3|ASC_HUMAN
TCONS_00032180,sp|Q9C000|NALP1_HUMAN
TCONS_00032181,sp|Q9C000|NALP1_HUMAN
TCONS_00032182,sp|Q9C000|NALP1_HUMAN
TCONS_00032183,sp|Q9C000|NALP1_HUMAN
TCONS_00032187,sp|O95361|TRI16_HUMAN
TCONS_00032192,sp|O95147|DUS14_HUMAN
TCONS_00032205,sp|Q9UMZ2|SYNRG_HUMAN
TCONS_00032206,sp|Q9UMZ2|SYNRG_HUMAN
TCONS_00032207,sp|Q9UMZ2|SYNRG_HUMAN
TCONS_00032208,sp|Q9UMZ2|SYNRG_HUMAN
TCONS_00032209,sp|Q9UMZ2|SYNRG_HUMAN
TCONS_00032213,sp|Q9UMZ2|SYNRG_HUMAN
TCONS_00032216,sp|Q9UMZ2|SYNRG_HUMAN
TCONS_00032219,sp|Q9UMZ2|SYNRG_HUMAN
TCONS_00032193,sp|Q14687|GSE1_HUMAN
TCONS_00032221,sp|Q9Y248|PSF2_HUMAN
TCONS_00032222,sp|Q9Y248|PSF2_HUMAN
TCONS_00032223,sp|O43402|EMC8_HUMAN
TCONS_00032224,sp|O43402|EMC8_HUMAN
TCONS_00032195,sp|P13073|COX41_HUMAN
TCONS_00032196,sp|Q9NRW4|DUS22_HUMAN
TCONS_00032197,sp|Q9NRW4|DUS22_HUMAN
TCONS_00032199,sp|Q02556|IRF8_HUMAN
TCONS_00032200,sp|Q02556|IRF8_HUMAN
TCONS_00032202,sp|Q12946|FOXF1_HUMAN
TCONS_00032225,sp|Q2M296|MTHSD_HUMAN
TCONS_00032226,sp|Q2M296|MTHSD_HUMAN
TCONS_00032204,sp|Q9H9R9|DBND1_HUMAN
TCONS_00032230,sp|Q9Y4W6|AFG32_HUMAN
TCONS_00032233,sp|Q6ZN54|DEFI8_HUMAN
TCONS_00032238,sp|P01127|PDGFB_HUMAN
TCONS_00032239,sp|P01127|PDGFB_HUMAN
TCONS_00032240,sp|P01127|PDGFB_HUMAN
TCONS_00032273,sp|P32927|IL3RB_HUMAN
TCONS_00032274,sp|P32927|IL3RB_HUMAN
TCONS_00032245,sp|P20472|PRVA_HUMAN
TCONS_00032246,sp|P20472|PRVA_HUMAN
TCONS_00032275,sp|Q6UXY1|BI2L2_HUMAN
TCONS_00032276,sp|Q6UXY1|BI2L2_HUMAN
TCONS_00032247,sp|O95502|NPTXR_HUMAN
TCONS_00032249,sp|Q8IXL6|FA20C_HUMAN
TCONS_00032250,sp|Q8IXL6|FA20C_HUMAN
TCONS_00032261,sp|Q8NHV1|GIMA7_HUMAN
TCONS_00032263,sp|Q13342|SP140_HUMAN
TCONS_00032264,sp|O75398|DEAF1_HUMAN
TCONS_00032265,sp|Q13342|SP140_HUMAN
TCONS_00032269,sp|Q13342|SP140_HUMAN
TCONS_00032270,sp|Q13342|SP140_HUMAN
TCONS_00032277,sp|Q96F63|CCD97_HUMAN
TCONS_00032271,sp|Q969V6|MKL1_HUMAN
TCONS_00032272,sp|B8ZZ34|SHSA8_HUMAN
TCONS_00032292,sp|Q8TEK3|DOT1L_HUMAN
TCONS_00032297,sp|Q8TEK3|DOT1L_HUMAN
TCONS_00032298,sp|Q8TEK3|DOT1L_HUMAN
TCONS_00032303,sp|Q8TEK3|DOT1L_HUMAN
TCONS_00032305,sp|P55199|ELL_HUMAN
TCONS_00032306,sp|P55199|ELL_HUMAN
TCONS_00032307,sp|Q14318|FKBP8_HUMAN
TCONS_00032308,sp|Q14318|FKBP8_HUMAN
TCONS_00032309,sp|Q9BWW4|SSBP3_HUMAN
TCONS_00032310,sp|Q9BWW4|SSBP3_HUMAN
TCONS_00032311,sp|Q9BWW4|SSBP3_HUMAN
TCONS_00032314,sp|Q9UK28|TM59L_HUMAN
TCONS_00032287,sp|O75462|CRLF1_HUMAN
TCONS_00032316,sp|Q96EN9|CS060_HUMAN
TCONS_00032289,sp|Q5VT40|FA78B_HUMAN
TCONS_00032317,sp|Q9Y2D2|S35A3_HUMAN
TCONS_00032319,sp|Q04721|NOTC2_HUMAN
TCONS_00032320,sp|Q04721|NOTC2_HUMAN
TCONS_00032321,sp|Q04721|NOTC2_HUMAN
TCONS_00032324,sp|O75051|PLXA2_HUMAN
TCONS_00032346,sp|P04003|C4BPA_HUMAN
TCONS_00032347,sp|P04003|C4BPA_HUMAN
TCONS_00032350,sp|P04003|C4BPA_HUMAN
TCONS_00032352,sp|P04003|C4BPA_HUMAN
TCONS_00032353,sp|P04003|C4BPA_HUMAN
TCONS_00032354,sp|P04003|C4BPA_HUMAN
TCONS_00032356,sp|P04003|C4BPA_HUMAN
TCONS_00032357,sp|P04003|C4BPA_HUMAN
TCONS_00032358,sp|P04003|C4BPA_HUMAN
TCONS_00032359,sp|P04003|C4BPA_HUMAN
TCONS_00032360,sp|P04003|C4BPA_HUMAN
TCONS_00032361,sp|P04003|C4BPA_HUMAN
TCONS_00032362,sp|P04003|C4BPA_HUMAN
TCONS_00032363,sp|P04003|C4BPA_HUMAN
TCONS_00032364,sp|P04003|C4BPA_HUMAN
TCONS_00032365,sp|P04003|C4BPA_HUMAN
TCONS_00032366,sp|P04003|C4BPA_HUMAN
TCONS_00032367,sp|P04003|C4BPA_HUMAN
TCONS_00032369,sp|P04003|C4BPA_HUMAN
TCONS_00032372,sp|P04003|C4BPA_HUMAN
TCONS_00032375,sp|P04003|C4BPA_HUMAN
TCONS_00032421,sp|P04431|KV123_HUMAN
TCONS_00032377,sp|P80422|LV212_HUMAN
TCONS_00032378,sp|P06316|LV107_HUMAN
TCONS_00032463,sp|P78324|SHPS1_HUMAN
TCONS_00032425,sp|P06316|LV107_HUMAN
TCONS_00032426,sp|P01615|KV202_HUMAN
TCONS_00032427,sp|P01615|KV202_HUMAN
TCONS_00032428,sp|P01615|KV202_HUMAN
TCONS_00032429,sp|P01716|LV402_HUMAN
TCONS_00032430,sp|P01611|KV119_HUMAN
TCONS_00032431,sp|P01611|KV119_HUMAN
TCONS_00032432,sp|P80422|LV212_HUMAN
TCONS_00032434,sp|Q9BQ04|RBM4B_HUMAN
TCONS_00032435,sp|Q9BQ04|RBM4B_HUMAN
TCONS_00032381,sp|Q96CG3|TIFA_HUMAN
TCONS_00032437,sp|Q9BQ04|RBM4B_HUMAN
TCONS_00032438,sp|Q9BQ04|RBM4B_HUMAN
TCONS_00032383,sp|Q9BWF3|RBM4_HUMAN
TCONS_00032443,sp|Q9BWF3|RBM4_HUMAN
TCONS_00032445,sp|Q9BWF3|RBM4_HUMAN
TCONS_00032446,sp|Q9BWF3|RBM4_HUMAN
TCONS_00032447,sp|Q9BWF3|RBM4_HUMAN
TCONS_00032448,sp|Q9BWF3|RBM4_HUMAN
TCONS_00032449,sp|Q9BWF3|RBM4_HUMAN
TCONS_00032450,sp|Q9BWF3|RBM4_HUMAN
TCONS_00032456,sp|P51116|FXR2_HUMAN
TCONS_00032457,sp|P51116|FXR2_HUMAN
TCONS_00032458,sp|P51116|FXR2_HUMAN
TCONS_00032384,sp|Q9H6D7|HAUS4_HUMAN
TCONS_00032385,sp|Q5JSL3|DOC11_HUMAN
TCONS_00032386,sp|Q5JSL3|DOC11_HUMAN
TCONS_00032387,sp|Q5JSL3|DOC11_HUMAN
TCONS_00032388,sp|Q5JSL3|DOC11_HUMAN
TCONS_00032392,sp|Q5JSL3|DOC11_HUMAN
TCONS_00032393,sp|Q5JSL3|DOC11_HUMAN
TCONS_00032411,sp|Q96J84|KIRR1_HUMAN
TCONS_00032413,sp|Q96J84|KIRR1_HUMAN
TCONS_00032414,sp|Q96J84|KIRR1_HUMAN
TCONS_00032417,sp|O75306|NDUS2_HUMAN
TCONS_00032472,sp|P20264|PO3F3_HUMAN
TCONS_00032473,sp|P82933|RT09_HUMAN
TCONS_00032474,sp|P82933|RT09_HUMAN
TCONS_00032475,sp|P82933|RT09_HUMAN
TCONS_00032476,sp|Q8ND83|SLAI1_HUMAN
TCONS_00032477,sp|Q8ND83|SLAI1_HUMAN
TCONS_00032478,sp|Q8ND83|SLAI1_HUMAN
TCONS_00032481,sp|Q6P995|F171B_HUMAN
TCONS_00032534,sp|Q8NEG5|ZSWM2_HUMAN
TCONS_00032535,sp|Q8NEG5|ZSWM2_HUMAN
TCONS_00032484,sp|Q16602|CALRL_HUMAN
TCONS_00032537,sp|P05997|CO5A2_HUMAN
TCONS_00032485,sp|Q0ZLH3|PJVK_HUMAN
TCONS_00032486,sp|Q15269|PWP2_HUMAN
TCONS_00032487,sp|O75530|EED_HUMAN
TCONS_00032489,sp|O75530|EED_HUMAN
TCONS_00032490,sp|P35670|ATP7B_HUMAN
TCONS_00032538,sp|Q9BY71|LRRC3_HUMAN
TCONS_00032540,sp|P57721|PCBP3_HUMAN
TCONS_00032546,sp|P57721|PCBP3_HUMAN
TCONS_00032549,sp|P57721|PCBP3_HUMAN
TCONS_00032491,sp|Q9H6D8|FNDC4_HUMAN
TCONS_00032555,sp|P43304|GPDM_HUMAN
TCONS_00032556,sp|P43304|GPDM_HUMAN
TCONS_00032492,sp|P43354|NR4A2_HUMAN
TCONS_00032493,sp|P68363|TBA1B_HUMAN
TCONS_00032559,sp|Q8N608|DPP10_HUMAN
TCONS_00032560,sp|Q9UBY0|SL9A2_HUMAN
TCONS_00032561,sp|Q9UBY0|SL9A2_HUMAN
TCONS_00032562,sp|Q9UBY0|SL9A2_HUMAN
TCONS_00032494,sp|Q96PE3|INP4A_HUMAN
TCONS_00032495,sp|Q96PE3|INP4A_HUMAN
TCONS_00032496,sp|Q96PE3|INP4A_HUMAN
TCONS_00032497,sp|Q96PE3|INP4A_HUMAN
TCONS_00032500,sp|Q96PE3|INP4A_HUMAN
TCONS_00032501,sp|Q96PE3|INP4A_HUMAN
TCONS_00032502,sp|Q96PE3|INP4A_HUMAN
TCONS_00032504,sp|Q96PE3|INP4A_HUMAN
TCONS_00032505,sp|Q96PE3|INP4A_HUMAN
TCONS_00032506,sp|Q96PE3|INP4A_HUMAN
TCONS_00032509,sp|Q96PE3|INP4A_HUMAN
TCONS_00032510,sp|Q96PE3|INP4A_HUMAN
TCONS_00032511,sp|Q96PE3|INP4A_HUMAN
TCONS_00032512,sp|Q96PE3|INP4A_HUMAN
TCONS_00032515,sp|Q96PE3|INP4A_HUMAN
TCONS_00032516,sp|Q96Q42|ALS2_HUMAN
TCONS_00032517,sp|Q96Q42|ALS2_HUMAN
TCONS_00032518,sp|Q96Q42|ALS2_HUMAN
TCONS_00032519,sp|Q96Q42|ALS2_HUMAN
TCONS_00032520,sp|Q96Q42|ALS2_HUMAN
TCONS_00032521,sp|Q96Q42|ALS2_HUMAN
TCONS_00032522,sp|Q96Q42|ALS2_HUMAN
TCONS_00032523,sp|Q96Q42|ALS2_HUMAN
TCONS_00032524,sp|Q96Q42|ALS2_HUMAN
TCONS_00032525,sp|Q96Q42|ALS2_HUMAN
TCONS_00032528,sp|Q96Q45|TM237_HUMAN
TCONS_00032529,sp|Q96Q45|TM237_HUMAN
TCONS_00032530,sp|Q96Q45|TM237_HUMAN
TCONS_00032531,sp|Q96Q45|TM237_HUMAN
TCONS_00032532,sp|Q96Q45|TM237_HUMAN
TCONS_00032533,sp|Q96Q45|TM237_HUMAN
TCONS_00032567,sp|Q9P2E7|PCD10_HUMAN
TCONS_00032569,sp|Q9P2E7|PCD10_HUMAN
TCONS_00032570,sp|Q9P2E7|PCD10_HUMAN
TCONS_00032575,sp|Q96K83|ZN521_HUMAN
TCONS_00032578,sp|Q96K83|ZN521_HUMAN
TCONS_00032600,sp|Q9Y5N1|HRH3_HUMAN
TCONS_00032593,sp|Q9BXW6|OSBL1_HUMAN
TCONS_00032602,sp|Q8N584|TT39C_HUMAN
TCONS_00032604,sp|Q8N584|TT39C_HUMAN
TCONS_00032606,sp|Q9BXB5|OSB10_HUMAN
TCONS_00032596,sp|Q9NYG2|ZDHC3_HUMAN
TCONS_00032607,sp|Q9NYG2|ZDHC3_HUMAN
TCONS_00032597,sp|Q15024|EXOS7_HUMAN
TCONS_00032598,sp|Q15024|EXOS7_HUMAN
TCONS_00032628,sp|Q00975|CAC1B_HUMAN
TCONS_00032631,sp|Q00975|CAC1B_HUMAN
TCONS_00032633,sp|Q00975|CAC1B_HUMAN
TCONS_00032635,sp|Q00975|CAC1B_HUMAN
TCONS_00032636,sp|Q00975|CAC1B_HUMAN
TCONS_00032640,sp|Q00975|CAC1B_HUMAN
TCONS_00032645,sp|Q00975|CAC1B_HUMAN
TCONS_00032648,sp|Q00975|CAC1B_HUMAN
TCONS_00032613,sp|P07477|TRY1_HUMAN
TCONS_00032664,sp|Q9H9B1|EHMT1_HUMAN
TCONS_00032665,sp|Q9H9B1|EHMT1_HUMAN
TCONS_00032614,sp|O43805|SSNA1_HUMAN
